Gene,Final_Weight,Calculation_Details
H2BC5,2.0,Base:1.0 + Bio:1.0(Raw:1)
CASP5,2.0,Base:1.0 + Bio:1.0(Raw:1)
TCN1,2.0,Base:1.0 + Bio:1.0(Raw:1)
HNRNPD,2.0,Base:1.0 + Bio:1.0(Raw:1)
CTSZ,2.0,Base:1.0 + Bio:1.0(Raw:1)
CREG1,2.0,Base:1.0 + Bio:1.0(Raw:1)
BCL7C,2.0,Base:1.0 + Bio:1.0(Raw:1)
ATP6V0E2,2.0,Base:1.0 + Bio:1.0(Raw:1)
OLFM4,2.0,Base:1.0 + Bio:1.0(Raw:1)
MAFB,2.0,Base:1.0 + Bio:1.0(Raw:1)
IDH1,2.0,Base:1.0 + Bio:1.0(Raw:1)
OSCAR,2.0,Base:1.0 + Bio:1.0(Raw:1)
NEU1,2.0,Base:1.0 + Bio:1.0(Raw:1)
DYSF,2.0,Base:1.0 + Bio:1.0(Raw:1)
CEBPE,2.0,Base:1.0 + Bio:1.0(Raw:1)
UBE2J1,2.0,Base:1.0 + Bio:1.0(Raw:1)
LGALS9,2.0,Base:1.0 + Bio:1.0(Raw:1)
TAP1,2.0,Base:1.0 + Bio:1.0(Raw:1)
GYG1,2.0,Base:1.0 + Bio:1.0(Raw:1)
EPHA4,2.0,Base:1.0 + Bio:1.0(Raw:1)
LY6E,2.0,Base:1.0 + Bio:1.0(Raw:1)
CD63,2.0,Base:1.0 + Bio:1.0(Raw:1)
PARP9,2.0,Base:1.0 + Bio:1.0(Raw:1)
FUT4,2.0,Base:1.0 + Bio:1.0(Raw:1)
BATF2,2.0,Base:1.0 + Bio:1.0(Raw:1)
EGR1,2.0,Base:1.0 + Bio:1.0(Raw:1)
TNFAIP6,2.0,Base:1.0 + Bio:1.0(Raw:1)
ANAPC16,2.0,Base:1.0 + Bio:1.0(Raw:1)
FCGR1BP,2.0,Base:1.0 + Bio:1.0(Raw:1)
PRC1,2.0,Base:1.0 + Bio:1.0(Raw:1)
TYMS,2.0,Base:1.0 + Bio:1.0(Raw:1)
TK1,2.0,Base:1.0 + Bio:1.0(Raw:1)
PCLAF,2.0,Base:1.0 + Bio:1.0(Raw:1)
RPS23,2.0,Base:1.0 + Bio:1.0(Raw:1)
RPL4,2.0,Base:1.0 + Bio:1.0(Raw:1)
RBM14,2.0,Base:1.0 + Bio:1.0(Raw:1)
IFI44,2.0,Base:1.0 + Bio:1.0(Raw:1)
HERC5,2.0,Base:1.0 + Bio:1.0(Raw:1)
SMARCD3,2.0,Base:1.0 + Bio:1.0(Raw:1)
PLEKHA1,2.0,Base:1.0 + Bio:1.0(Raw:1)
EXOSC4,1.0,Base:1.0 + Bio:0.0(Raw:0)
EPSTI1,1.0,Base:1.0 + Bio:0.0(Raw:0)
ABCB1,1.0,Base:1.0 + Bio:0.0(Raw:0)
HNRNPH1,1.0,Base:1.0 + Bio:0.0(Raw:0)
LHFPL2,1.0,Base:1.0 + Bio:0.0(Raw:0)
PNISR,1.0,Base:1.0 + Bio:0.0(Raw:0)
NOP10,1.0,Base:1.0 + Bio:0.0(Raw:0)
CENPW,1.0,Base:1.0 + Bio:0.0(Raw:0)
NPHP3,1.0,Base:1.0 + Bio:0.0(Raw:0)
ZNF831,1.0,Base:1.0 + Bio:0.0(Raw:0)
ZNF91,1.0,Base:1.0 + Bio:0.0(Raw:0)
TXNDC12,1.0,Base:1.0 + Bio:0.0(Raw:0)
DESI1,1.0,Base:1.0 + Bio:0.0(Raw:0)
PPTC7,1.0,Base:1.0 + Bio:0.0(Raw:0)
KLRF1,1.0,Base:1.0 + Bio:0.0(Raw:0)
MT1E,1.0,Base:1.0 + Bio:0.0(Raw:0)
ZNF329,1.0,Base:1.0 + Bio:0.0(Raw:0)
SAP30,1.0,Base:1.0 + Bio:0.0(Raw:0)
CNNM3,1.0,Base:1.0 + Bio:0.0(Raw:0)
PCED1B-AS1,1.0,Base:1.0 + Bio:0.0(Raw:0)
MATK,1.0,Base:1.0 + Bio:0.0(Raw:0)
ATXN7L3B,1.0,Base:1.0 + Bio:0.0(Raw:0)
ZNF264,1.0,Base:1.0 + Bio:0.0(Raw:0)
ATF7IP2,1.0,Base:1.0 + Bio:0.0(Raw:0)
POLM,1.0,Base:1.0 + Bio:0.0(Raw:0)
STT3B,1.0,Base:1.0 + Bio:0.0(Raw:0)
MVD,1.0,Base:1.0 + Bio:0.0(Raw:0)
NSG1,1.0,Base:1.0 + Bio:0.0(Raw:0)
TMEM181,1.0,Base:1.0 + Bio:0.0(Raw:0)
SIGLEC9,1.0,Base:1.0 + Bio:0.0(Raw:0)
MED13L,1.0,Base:1.0 + Bio:0.0(Raw:0)
TLE4,1.0,Base:1.0 + Bio:0.0(Raw:0)
MIAT,1.0,Base:1.0 + Bio:0.0(Raw:0)
NCL,1.0,Base:1.0 + Bio:0.0(Raw:0)
DHDDS,1.0,Base:1.0 + Bio:0.0(Raw:0)
TFF3,1.0,Base:1.0 + Bio:0.0(Raw:0)
SLC7A6,1.0,Base:1.0 + Bio:0.0(Raw:0)
SMIM24,1.0,Base:1.0 + Bio:0.0(Raw:0)
SRRM2,1.0,Base:1.0 + Bio:0.0(Raw:0)
TMED1,1.0,Base:1.0 + Bio:0.0(Raw:0)
GALT,1.0,Base:1.0 + Bio:0.0(Raw:0)
GLRX,1.0,Base:1.0 + Bio:0.0(Raw:0)
SPATS2L,1.0,Base:1.0 + Bio:0.0(Raw:0)
ITPK1,1.0,Base:1.0 + Bio:0.0(Raw:0)
SPTLC2,1.0,Base:1.0 + Bio:0.0(Raw:0)
CRY1,1.0,Base:1.0 + Bio:0.0(Raw:0)
SQOR,1.0,Base:1.0 + Bio:0.0(Raw:0)
GPBAR1,1.0,Base:1.0 + Bio:0.0(Raw:0)
CIRBP,1.0,Base:1.0 + Bio:0.0(Raw:0)
ANKRD22,1.0,Base:1.0 + Bio:0.0(Raw:0)
KLF12,1.0,Base:1.0 + Bio:0.0(Raw:0)
DENND2D,1.0,Base:1.0 + Bio:0.0(Raw:0)
NIBAN3,1.0,Base:1.0 + Bio:0.0(Raw:0)
ZNF548,1.0,Base:1.0 + Bio:0.0(Raw:0)
SNHG1,1.0,Base:1.0 + Bio:0.0(Raw:0)
SAMD9,1.0,Base:1.0 + Bio:0.0(Raw:0)
CITED4,1.0,Base:1.0 + Bio:0.0(Raw:0)
LRP3,1.0,Base:1.0 + Bio:0.0(Raw:0)
PCYOX1,1.0,Base:1.0 + Bio:0.0(Raw:0)
GNA15,1.0,Base:1.0 + Bio:0.0(Raw:0)
SAMD9L,1.0,Base:1.0 + Bio:0.0(Raw:0)
