Gene,Final_Weight,Calculation_Details
RUBCNL,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
SLC35F6,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
RFWD3,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
HERC6,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
CXCR6,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
RTP4,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
IFIT2,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
EIF3D,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
MT2A,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
SRSF4,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
F12,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
ZNF83,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
PTMS,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
CEACAM1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
BLOC1S1,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
ATF5,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
HBQ1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
ABCA1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
CD6,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
ISG20,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
PLSCR1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
CCR1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
STARD8,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
SYTL1,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
UBE2S,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
LY9,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
MYB,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
ACTL6A,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
UNC93B1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
OAF,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
SRSF5,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
NAA38,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
YPEL1,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
GZMK,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
CYSTM1,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
UBR2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CLEC5A,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
DYNLT1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
GNLY,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
HMOX1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
GPER1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
PRDX4,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
QSOX1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
ATG16L1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SERPINB1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SKAP1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
ADM,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
ANG,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CD7,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CD96,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
PCID2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
FLNA,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SPSB3,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
TIMP2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
PLAUR,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
FCMR,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CFP,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
TRAF3IP3,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
JUP,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
TXN,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CTSA,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CBLB,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CD1C,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
LILRA5,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
VNN1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CHMP5,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CD38,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
COMMD4,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
SLC66A2,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
TRIP6,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
PCYOX1,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
HNRNPDL,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
NEU1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
OSCAR,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
RETN,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
IDH1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
FFAR2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CREG1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
HNRNPD,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
GYG1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
TCN1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
DYSF,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CEBPE,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
S100A12,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
PYHIN1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
UBE2J1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
HNRNPU,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
GRN,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
GSDMB,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
PSG9,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CEACAM6,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
BANK1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
HCK,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
BST1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
GSN,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CLEC4D,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
MNDA,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
IFITM2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
FCAR,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
LCN2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
OSM,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
RMI2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SH3GLB1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
ACTR1B,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
TMC6,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
HLX,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
AKR1C3,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SPHK2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
FCRL3,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
IL7R,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CTSZ,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
BCL7C,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
ATP6V0E2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
OLFM4,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
MAFB,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
