"","GSM2159829","GSM2159830","GSM2159831","GSM2159832","GSM2159833","GSM2159834","GSM2159835","GSM2159836","GSM2159837","GSM2159838","GSM2159839","GSM2159840","GSM2159841","GSM2159842","GSM2159843","GSM2159844","GSM2159845","GSM2159846","GSM2159847","GSM2159848","GSM2159849","GSM2159850","GSM2159851","GSM2159852","GSM2159853","GSM2159854","GSM2159855","GSM2159856","GSM2159857","GSM2159858","GSM2159859","GSM2159860","GSM2159861","GSM2159862","GSM2159863","GSM2159864","GSM2159865","GSM2159866","GSM2159867","GSM2159868"
"GIMAP8",11.2230128,11.26144795,11.1097249,11.38110218,11.02588287,11.17720835,11.05971016,10.82324383,10.65907898,11.82616909,11.23950664,11.1728525,11.33864169,11.09269901,10.96658043,11.31120905,11.14070262,11.09175007,10.79413152,9.044882039,10.42161043,10.23041199,10.368286,10.87815746,10.10918293,10.63496166,10.80442147,11.24847791,11.02504195,10.80369201,11.04866873,11.00734409,9.936172374,10.00773792,11.3721653,10.41508258,10.14295455,10.48608885,9.848605102,9.713493575
"PATJ",7.371330861,7.326496904,7.268523573,7.226408478,7.178080242,7.133338818,7.246072132,7.147123997,7.059799737,7.123157464,7.206071488,7.180227222,7.218237607,7.202847133,7.212730122,7.174766576,7.198366613,7.174455426,7.239806268,7.247137724,7.240692858,7.23139868,7.210584596,7.233477461,7.307566984,7.073624771,7.192033921,7.083027843,7.075819685,7.181774767,7.269582806,7.107776374,7.222706366,7.234764397,7.263939921,7.098005568,7.104519175,6.983671951,7.293729479,7.148780386
"IL3RA",7.567533016,7.607426383,7.389735422,7.551876059,7.501771711,7.701175872,7.440584156,7.200313323,7.434192321,7.18085705,7.486712998,7.189837602,7.613753976,7.396901712,7.369228125,7.156148199,7.216582028,7.201806098,7.321509128,7.420130067,7.378341286,7.443523819,7.289792188,7.275170896,7.221220863,7.055386684,7.151624504,7.195701929,7.475229033,7.177631779,7.196698544,7.171366612,7.156148199,7.040364192,7.123228059,7.142683055,7.51669151,7.161997272,6.997321459,7.103710492
"MILR1",8.60682216,7.811316923,9.401351223,8.978998112,8.891272609,9.398278962,8.31526891,8.984125618,7.289291576,7.097001112,8.093053797,8.452813307,8.674254611,8.576268486,8.488413958,8.743600682,8.293230924,8.282393781,8.20699338,7.967450448,8.428732161,8.37037349,8.753976276,8.572900793,8.244429841,9.663543873,9.552165891,8.857384584,7.871388759,9.041669281,8.009988914,9.085696846,9.117118909,8.967499495,8.84695292,8.477888127,8.489378247,7.965242086,8.254632374,8.406716418
"SLC24A1",7.31834156,7.361713945,7.228453389,7.235069939,7.33408763,7.14448218,7.326054983,7.156012084,7.450649963,7.461465085,7.290210696,7.263468362,7.343961826,7.141753785,7.246079163,7.193379733,7.294238681,7.008004588,7.32333633,7.036900238,7.357372712,7.17412701,7.266364759,7.255498896,7.331741219,7.15859467,7.205229201,7.393072111,7.3550278,7.21917095,7.240411599,7.259236667,7.134090471,7.338490493,7.210224789,7.191221069,7.363438586,7.322744806,7.283303893,7.195438068
"PLCXD1",7.330002482,7.409716576,7.402606415,7.542331105,7.363046232,7.428561759,7.376019815,7.377331284,7.507617269,7.5143042,7.658607258,7.644800267,7.546079616,7.42505373,7.43591043,7.54570085,7.577874726,7.534716078,7.424061934,7.407584411,7.604789406,7.44841564,7.415837813,7.52745341,7.348070518,7.550175511,7.421083902,7.444080516,7.502215963,7.724866238,7.782513668,7.574751911,7.596931286,7.527687121,7.618203994,7.44705186,7.345503779,7.321173315,7.372784898,7.582050032
"TMEM184B",8.013501463,8.252939549,8.015702463,8.005544232,7.837744674,8.008214094,8.046844093,8.269797089,8.058726156,7.911565095,8.120769061,8.609379973,8.378163053,8.193823532,8.391143999,8.339033605,8.362172809,8.227180442,8.30777802,8.83764092,8.265403633,8.595852946,7.985475621,8.274096065,8.120769061,8.189742127,8.23891503,8.742817933,8.861819908,7.968749117,8.050343119,8.118271201,8.027564936,8.133626675,7.749987812,7.853699579,7.83220205,8.24560865,8.281738279,8.02439243
"AHCTF1",8.841545527,8.964311906,8.802744163,8.817561773,8.51704215,8.64378897,8.764931791,8.566091323,9.279223225,9.745739007,8.677942742,8.630252876,8.862084148,8.576539236,8.670661026,8.825735733,8.721395067,8.463351147,9.187613723,8.437512,8.523503136,8.647032801,8.543515181,8.641698142,8.617872662,8.209534597,8.321042212,9.154905156,8.58145773,8.478066134,8.638608627,8.330188794,8.985446886,8.639910808,8.932659949,8.553548688,8.795994881,8.590299656,8.540217667,8.756382348
"DHX34",8.007457337,8.084085328,8.119120714,8.046499612,7.967823202,8.375804813,7.959764929,8.074855679,7.522654227,7.826062754,7.704534284,7.785062041,8.093886162,7.805444663,7.90669595,7.939440895,7.780866955,7.999077231,8.097415316,7.701781633,7.77890053,7.680371697,7.62707719,7.714197939,7.888899563,8.064833068,8.115184821,7.847975878,7.595687176,7.835006243,7.881734822,8.10336358,7.823457592,7.689346843,7.851686154,7.853040904,7.706824753,7.947017062,7.90669595,7.771320634
"CDK9",9.072196931,9.069664578,9.031882019,9.045109551,9.050914389,9.070927018,9.085998983,9.068816427,8.074296464,8.115184821,9.008274259,8.714992952,8.812626462,8.76360583,8.928010197,8.753651033,8.921282491,8.76866905,8.792667386,9.462614535,9.192324874,9.07153235,8.948829754,8.68024276,8.733682447,9.144658753,9.085696846,8.511936538,8.402701118,9.140994604,8.952317548,8.780080519,8.670175253,8.777853762,8.701564084,8.835500235,8.717709769,8.818831445,8.627874102,8.570954358
"ALAD",8.191223897,8.182986413,8.340491509,8.218358427,8.226211636,8.389629543,8.37471065,8.298061557,8.19692146,8.082442203,7.882808749,8.141052912,8.00272891,8.183138677,8.16497616,8.164123915,8.066399001,8.063607596,7.997083924,8.15540147,8.310711458,8.007040245,8.19134625,8.188389062,8.126186576,8.475988935,8.410921265,8.016694705,8.177619117,8.164844359,8.015999222,8.210486121,8.085595385,8.042135736,8.000410853,8.280920874,7.879107159,7.986192662,8.216585537,8.149718907
"PPP1R11",11.44946027,11.20689897,11.51814119,11.38217548,11.49279355,11.40995942,11.48117127,11.35048288,11.14821281,11.20159711,11.78453343,11.62405519,11.78614831,11.80216857,12.00584381,11.66491211,11.71124968,11.63296885,11.63789503,11.32381926,11.71576556,11.57750908,11.75215272,11.78192684,11.59227809,11.54550462,11.46504035,11.48427813,11.43284252,11.65657011,11.38342188,11.82456461,11.19457835,11.65239731,11.64047904,11.85121535,11.4902788,11.16920786,11.74606036,11.46392229
"CD33",9.672461409,8.895171021,9.921371762,9.811171241,9.291559357,10.07923409,9.645354192,9.336601621,9.752721166,8.704887604,9.924919069,10.32713269,10.38071863,9.973548139,10.11406635,10.08013132,9.583432959,10.29536717,9.692584991,9.473510333,10.11067905,10.25510295,10.09544977,10.30149048,10.07691177,10.6979953,10.73041749,10.33299765,10.65764715,10.45361635,9.863470502,10.44610732,10.4271955,10.23911755,10.12945175,9.986844646,10.26230513,10.37148263,10.14565198,10.34573788
"DEK",10.60324151,10.59566962,10.54694364,10.34340782,10.65984074,10.08503686,10.70182712,10.34043765,11.10399062,10.91052206,10.38343538,10.61242438,10.79270002,10.67490461,10.60596373,10.76240363,11.00372239,10.65702899,11.01759139,9.516105786,10.35223106,10.61595878,10.77382824,10.87414145,10.85846673,9.935654952,9.919630583,11.40652764,10.76240363,10.77460342,11.02230747,10.53381834,10.80305909,11.30600414,11.40003726,10.83343883,11.13720571,10.65632653,10.36715262,10.65632653
"BMP6",8.107171348,9.40515423,8.579821929,8.793982993,8.780080519,8.036553964,8.323515628,8.205001257,9.58602497,9.857684497,8.988964111,8.91111271,8.852679941,9.319117514,8.733441412,8.161748737,8.621173472,9.176473378,9.391207065,8.255831748,8.791346445,8.438385414,8.797326068,9.299989152,8.626733958,7.714698603,8.533086909,8.543703539,8.718026646,8.329328461,7.835207796,7.899643549,9.375263857,8.038301525,8.754239067,8.616646666,8.812098669,9.553981142,8.35658906,9.862057684
"CHML",7.309972624,7.357562817,7.279465741,7.380870704,7.274197235,7.541073363,7.268647796,7.336029011,7.423370195,7.443236075,7.11308223,7.168762654,7.271399937,7.112377859,7.272060084,7.404803564,7.239877985,7.254972312,7.22720335,7.297473911,7.197013053,7.208592188,7.265915721,7.238397165,7.330511514,7.476272433,7.531090255,7.267707596,7.263093544,7.173546099,7.251897499,7.292211518,7.17350567,7.241286589,7.249763089,7.320850458,7.525429151,7.264905417,7.314332593,7.267276293
"ALDOB",7.285428819,7.166160014,7.160009913,7.243623144,7.26543098,7.246560154,7.511376577,7.378041536,6.909269495,6.994094685,7.498476612,7.78311805,7.379383377,7.319156854,7.51110355,7.169910174,7.220134829,7.370344939,7.376300472,7.228979389,7.302946001,7.485075742,7.228180563,7.131933659,7.307419649,7.172541629,7.291502262,7.166387942,7.002191989,7.334878024,7.537799556,7.477161891,7.34524207,7.364221648,7.386332863,7.371939888,7.196426603,7.032754501,7.197461928,7.362243555
"LHFPL2",8.200366848,7.847778676,8.296480101,8.620472093,7.840923127,8.180701893,8.154657172,7.90411982,8.436413237,8.166492243,8.298743625,8.448709657,8.673407981,8.340431748,8.634250796,7.939304325,8.291135479,8.522667793,9.050627122,7.66473402,8.03096392,8.053021294,7.932432508,8.290222603,7.940009934,8.345175865,8.496478452,9.613251691,9.360628743,9.580844384,8.535976686,9.221637627,9.677719818,8.49797557,9.101125294,8.724885966,8.774231967,9.402074287,8.250501488,9.541178721
"SMARCE1",7.805576255,7.840196351,7.74805706,7.803256365,7.759152325,7.625112127,7.805968882,7.683280273,7.821488852,7.77796448,7.653719898,7.711332184,7.716333894,7.821761454,7.716848232,7.73866634,7.786566094,7.613522771,7.655518699,7.583865852,7.581824727,7.711561866,7.740224203,7.709025386,7.762486875,7.72455314,7.572774677,7.679442857,7.649140339,7.602419541,7.862015142,7.649414219,7.631044193,7.803536212,7.792288207,7.645423324,7.855320269,7.831503631,7.695120184,7.644530875
"ISYNA1",7.372308416,7.399793693,7.480739743,7.335949409,7.461569842,7.449420595,7.4031343,7.428163714,7.170685294,7.105744183,7.273744933,7.230186853,7.188929541,7.379789337,7.275779471,7.120360971,7.258141705,7.237326528,7.161553585,7.374345775,7.264771578,7.333339743,7.301657695,7.266296111,7.397942711,7.434192321,7.348760934,7.237635624,7.234955888,7.330348095,7.517009208,7.193242658,7.118755652,7.381559075,7.299013581,7.336113251,7.200259796,7.23891733,7.396086205,7.240964437
"GOLGB1",8.359911815,8.371056477,8.828023292,9.100014163,8.691238873,8.593443631,8.929086755,8.58602024,9.390556991,9.766430517,8.571496448,8.624807769,8.626141241,9.156924171,7.50320089,9.034572845,9.261090483,8.841965173,9.281950885,7.740356517,8.839231765,9.205258828,8.392336097,9.124809143,8.615591619,8.44011325,8.042620333,8.690455135,8.753124571,9.165868235,8.882206513,9.225158262,9.089247867,9.034572845,9.307403706,9.045697967,8.772332235,8.657111115,9.074765247,9.203564085
"GORASP2",9.742334028,9.725276609,9.737121915,9.30983829,9.535074124,9.335562976,9.421570043,9.546671481,9.307403706,9.360971929,9.273141927,9.224732487,9.239971028,9.233095466,9.200489395,9.244217298,9.238553539,9.064669483,9.278714509,8.861819908,9.213993871,9.124511149,9.090749183,9.119736671,8.969717188,9.331103923,9.591827309,9.071229045,9.160189855,9.168601172,9.483600767,8.976979331,8.48155356,9.424621285,9.187950309,9.268552527,9.011244031,8.873091922,9.035785269,8.740047968
"KLHDC4",9.588801944,9.444790041,9.374179424,9.42551847,9.763341689,9.466805733,9.532173556,9.608271273,8.704887604,8.728390009,9.260797011,8.704154443,8.903145738,8.779503172,8.87108001,8.898512477,9.312715312,9.179210955,8.80306716,9.270619809,9.370561656,9.044107738,9.021527476,9.176205319,8.924809832,9.303144407,9.741989363,8.145931192,8.44115035,9.339808146,9.159610771,9.13440681,8.794223039,9.259920942,8.777853762,9.186459207,8.921282491,8.594292007,8.908434355,8.877089385
"CERS4",7.278781998,7.306546907,7.301735221,7.272981918,7.237026738,7.264052386,7.260324846,7.088198717,7.186305034,6.988018766,7.125690152,7.021700609,7.033527661,7.188279419,7.240232043,7.132489279,7.162962324,7.273332049,7.123998313,7.53818762,7.043348383,7.213315182,7.206187959,7.181887834,7.093710628,7.29686643,7.422976897,7.176224204,7.235848898,7.099137547,7.362151086,7.250551383,7.189188285,7.09659087,7.195882908,7.310452628,7.232303876,7.353495405,7.213834414,7.309373725
